,x,y,Classification,Concept Drift
0,0.04872488080912729,0.275135300734785,Initially Negative,After Concept Drift Positive
1,0.28910965978981684,0.18618758661894164,Initially Positive,After Concept Drift Negative
2,0.7209663468312298,0.07774180890318094,Initially Positive,After Concept Drift Negative
3,0.021616249915949792,0.916040998847583,Initially Negative,After Concept Drift Positive
4,0.20592276526743902,0.04129540129900555,Initially Positive,After Concept Drift Negative
5,0.0507732566953768,0.6504856172980629,Initially Negative,After Concept Drift Positive
6,0.30227189396461684,0.18405769591728993,Initially Positive,After Concept Drift Negative
7,0.6639102946247,0.030615874030044843,Initially Positive,After Concept Drift Negative
8,0.30811439323687884,0.01213192339946334,Initially Positive,After Concept Drift Negative
9,0.5835912762185987,0.19656817353673695,Initially Positive,After Concept Drift Negative
10,0.06957095461260054,0.8259624812644194,Initially Negative,After Concept Drift Positive
11,0.8674044839930883,0.4788321088588824,Initially Negative,After Concept Drift Positive
12,0.13324051925174774,0.2755875461852352,Initially Positive,After Concept Drift Negative
13,0.17812466155949835,0.541827961633906,Initially Negative,After Concept Drift Positive
14,0.4959295498261558,0.1518699983615669,Initially Positive,After Concept Drift Negative
15,0.8636996445582236,0.8872158732109077,Initially Negative,After Concept Drift Positive
16,0.7589438355121143,0.015547589326851075,Initially Positive,After Concept Drift Negative
17,0.9704851253491577,0.42007503414308844,Initially Negative,After Concept Drift Positive
18,0.7593025527855528,0.23506177845057374,Initially Positive,After Concept Drift Negative
19,0.3842500320901294,0.12357407209038684,Initially Positive,After Concept Drift Negative
20,0.40871832944373254,0.26199595825379984,Initially Positive,After Concept Drift Negative
21,0.7133604278844787,0.6570134747502697,Initially Positive,After Concept Drift Negative
22,0.27066977267313375,0.31045166206799113,Initially Positive,After Concept Drift Negative
23,0.854102871991344,0.5370293515987583,Initially Negative,After Concept Drift Positive
24,0.9131639696118056,0.8816807678674777,Initially Negative,After Concept Drift Positive
25,0.7607560696646062,0.40695002129126545,Initially Positive,After Concept Drift Negative
26,0.5166685377580662,0.7062713196763395,Initially Positive,After Concept Drift Negative
27,0.16783576522150734,0.3736753775244408,Initially Positive,After Concept Drift Negative
28,0.2986922916088657,0.994172635235034,Initially Negative,After Concept Drift Positive
29,0.28394304503063383,0.8695052060453339,Initially Negative,After Concept Drift Positive
30,0.32721257661773095,0.15015853095257847,Initially Positive,After Concept Drift Negative
31,0.46014033379297603,0.4946453204235832,Initially Positive,After Concept Drift Negative
32,0.5443683594576376,0.27318726174153596,Initially Positive,After Concept Drift Negative
33,0.21740086975972195,0.3423302297814925,Initially Positive,After Concept Drift Negative
34,0.7998683269389765,0.2508971329686076,Initially Positive,After Concept Drift Negative
35,0.7266844492965354,0.45491418271867723,Initially Positive,After Concept Drift Negative
36,0.8492927133912169,0.7086315916010322,Initially Negative,After Concept Drift Positive
37,0.2675218045820723,0.31438051745703544,Initially Positive,After Concept Drift Negative
38,0.6148247111484346,0.2078604685503198,Initially Positive,After Concept Drift Negative
39,0.6527560731939891,0.7680114937127132,Initially Positive,After Concept Drift Negative
40,0.38681643413428557,0.5796657740081574,Initially Positive,After Concept Drift Negative
41,0.41035417857281875,0.701561422130018,Initially Positive,After Concept Drift Negative
42,0.8101575494926372,0.06345912208453064,Initially Positive,After Concept Drift Negative
43,0.6003692653821349,0.5072336047263531,Initially Positive,After Concept Drift Negative
44,0.8983403385846943,0.4986527924062991,Initially Negative,After Concept Drift Positive
45,0.490032225049018,0.7012888874656199,Initially Positive,After Concept Drift Negative
46,0.8283181322162818,0.23135668140700005,Initially Positive,After Concept Drift Negative
47,0.8588894711682389,0.2454827333624563,Initially Positive,After Concept Drift Negative
48,0.788445143641093,0.5143418904754198,Initially Positive,After Concept Drift Negative
49,0.887655437207203,0.17705648941356844,Initially Positive,After Concept Drift Negative
50,0.6988607889524882,0.2800035926192894,Initially Positive,After Concept Drift Negative
51,0.4543903076107496,0.6502408321518143,Initially Positive,After Concept Drift Negative
52,0.3059151647888555,0.45919654170246527,Initially Positive,After Concept Drift Negative
53,0.8200844049259268,0.7378425954094284,Initially Negative,After Concept Drift Positive
54,0.13966465542401996,0.308628049539003,Initially Positive,After Concept Drift Negative
55,0.4012964984806886,0.07276816738294811,Initially Positive,After Concept Drift Negative
56,0.23121231494033567,0.29978937453559007,Initially Positive,After Concept Drift Negative
57,0.5904577635433566,0.524704470426096,Initially Positive,After Concept Drift Negative
58,0.8862680579351458,0.3073100057764556,Initially Positive,After Concept Drift Negative
59,0.3277415904125234,0.5924430620769748,Initially Positive,After Concept Drift Negative
60,0.8046096520196478,0.7801384393045899,Initially Negative,After Concept Drift Positive
61,0.7974528394679815,0.9795605021257417,Initially Negative,After Concept Drift Positive
62,0.6656936477741948,0.25313159474751945,Initially Positive,After Concept Drift Negative
63,0.24411249672277346,0.3256931327199486,Initially Positive,After Concept Drift Negative
64,0.8193562457545637,0.8622382183746089,Initially Negative,After Concept Drift Positive
65,0.46760119044811566,0.6998921605655856,Initially Positive,After Concept Drift Negative
66,0.7391087269840894,0.32109893414849644,Initially Positive,After Concept Drift Negative
67,0.4606464683225363,0.0621315486184113,Initially Positive,After Concept Drift Negative
68,0.8640857495729742,0.8554169373994267,Initially Negative,After Concept Drift Positive
